suburb,price
St Clair,825600.3703703703
St Huberts Island,1536000.0
St Ives,2635609.7560975607
St Ives Chase,1726293.3333333333
St Johns Park,1159000.0
St Leonards,1573285.7142857143
St Marys,1111033.3333333333
St Peters,1551684.2105263157
Stanhope Gardens,1207832.5333333334
Stanmore,2092203.7037037036
Strathfield,2294514.3703703703
Strathfield South,1741090.9090909092
Summer Hill,2317045.4545454546
Surry Hills,1981958.3333333333
Sutherland,1296416.6666666667
Sydenham,1598625.375
Sydney,1701258.064516129
Sydney Olympic Park,1255000.0
Sylvania,1619375.6756756757
Sylvania Waters,2224100.0
Tacoma,1400000.0
Tacoma South,1095000.0
Tamarama,2176666.6666666665
Taren Point,2143735.294117647
Tascott,1473928.5714285714
Telopea,2077272.7272727273
Tempe,1865300.0
Tennyson Point,2352625.0
Terrey Hills,1807333.3333333333
Terrigal,1425437.5
The Entrance,1007058.8235294118
The Entrance North,1375468.75
The Ponds,1222085.8285714285
Thornleigh,1645583.3333333333
Toongabbie,948784.0
Toowoon Bay,1506916.6666666667
Toukley,741726.9166666666
Tuggerah,1000000.0
Tuggerawong,1155000.0
Tumbi Umbi,1225125.0
Turramurra,2363007.1428571427
Turrella,1489000.0
Ultimo,1425769.2307692308
Umina Beach,1236414.4736842106
Valley Heights,1285629.3333333333
Vaucluse,1541250.0
Villawood,1076666.6666666667
Vineyard,1719040.0
Voyager Point,1289700.0
Wadalba,670759.1666666666
Wagstaffe,1579545.4545454546
Wahroonga,2141126.5142857144
Waitara,1187666.6666666667
Wakeley,1112250.0
Wamberal,1635162.7906976745
Wareemba,2250833.3333333335
Warnervale,1113333.3333333333
Warrawee,2457666.6666666665
Warriewood,1752105.5263157894
Warrimoo,1224010.7142857143
Warwick Farm,1800000.0
Watanobbi,472254.0
Waterloo,1409777.7777777778
Watsons Bay,3050000.0
Wattle Grove,1002005.8823529412
Waverley,2250000.0
Waverton,3165000.0
Wentworth Point,915250.0
Wentworthville,1141590.9090909092
Werrington,1048916.2727272727
Werrington County,1580000.0
Werrington Downs,1090000.0
West Gosford,1384285.7142857143
West Hoxton,1200264.705882353
West Pennant Hills,1890734.2857142857
West Pymble,2034383.3125
West Ryde,1784396.551724138
Westleigh,1769190.4761904762
Westmead,1133500.0
Wetherill Park,1049708.3333333333
Whalan,533000.0
Whale Beach,3306250.0
Wheeler Heights,2133758.4166666665
Wiley Park,993361.1111111111
Willoughby,2064071.4285714286
Windsor,1433958.3333333333
Windsor Downs,1613333.3333333333
Winmalee,986433.0869565217
Winston Hills,1331425.9259259258
Wolli Creek,1012755.5555555555
Wollstonecraft,2391857.1428571427
Woodbine,1057500.0
Woodcroft,957500.0
Woollahra,3033571.4285714286
Woolloomooloo,1661071.4285714286
Woolooware,2096769.2307692308
Woongarrah,805017.0454545454
Woronora,1341000.0
Woronora Heights,1498571.4285714286
Woy Woy,977263.1578947369
Wyoming,763434.375
Wyong,866449.4545454546
Wyongah,1221285.7142857143
Yagoona,959796.2962962963
Yarrawarrah,1516666.6666666667
Yattalunga,1205200.0
Yellow Rock,1549529.875
Yowie Bay,1983169.8823529412
Zetland,1517357.142857143
